player,salary,adj_salary,year_start,year_end,date,inflation_rate_percent,multiplier,adj_salary_audit,audit_delta
Kevin Duckworth,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Jerome Kersey,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Byron Scott,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Rumeal Robinson,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Doug Edwards,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Rich Manning,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Isaac Austin,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Mark Strickland,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Voshon Lenard,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Tony Farmer,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
David Wood,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Dean Garrett,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Chris Jent,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Eric Leckner,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Scott Brooks,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Antonio Harvey,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Eric Snow,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Larry Stewart,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Gerald Wilkins,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Derek Strong,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Doug Overton,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Mark Bradtke,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Mark Davis,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Rex Chapman,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Darrin Hancock,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Reggie Jordan,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Tyus Edney,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Kevin Salvadori,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Dominique Wilkins,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Walt Williams,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Ben Wallace,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Jaren Jackson,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Ashraf Amaya,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Matt Fish,247500.0,407177.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,408387.9538750536,1210.9538750536158
Mark Hendrickson,247000.0,406355.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,407562.92770560907,1207.927705609065
Brett Szabo,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Steve Hamer,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Malik Rose,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Carlos Strong,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Reggie Geary,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Erick Strickland,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Darvin Ham,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Marcus Mann,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Ray Owes,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Emanual Davis,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Randy Livingston,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Travis Knight,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Chris Robinson,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
James Scott,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Virginijus Praskevicius,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Amal McCaskill,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Ben Davis,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Marcus Brown,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Donald Whiteside,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Shandon Anderson,220000.0,361935.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,363011.5145556032,1076.5145556032076
Earl Cureton,205200.0,337587.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,338590.73994004447,1003.7399400444701
John Long,205200.0,337587.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,338590.73994004447,1003.7399400444701
Kenny Smith,190100.0,312745.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,313674.94962281897,929.9496228189673
Lloyd Daniels,184100.0,302874.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,303774.6355894843,900.6355894843
Henry James,181100.0,297938.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,298824.478572817,886.4785728169954
Stephen Howard,181100.0,297938.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,298824.478572817,886.4785728169954
Aaron Williams,169000.0,278032.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,278858.84527225886,826.8452722588554
Robert Werdann,166000.0,273097.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,273908.6882555915,811.6882555914926
Gaylon Nickerson,152900.0,251545.0,1996,1997,1996-12-31,1.029312,1.6500523388891055,252293.00261614422,748.002616144222
Michael Jordan,33140000.0,53296273.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,53433616.84968974,137343.84968973696
Patrick Ewing,20500000.0,32968424.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,33053383.989699446,84959.98969944566
Horace Grant,14285714.0,22974511.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,23033716.605318304,59205.60531830415
Shaquille O'Neal,12857143.0,20677061.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,20730345.589730553,53284.58973055333
David Robinson,12397440.0,19937759.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,19989138.77118339,51379.77118339017
Alonzo Mourning,11254800.0,18100147.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,18146791.51840338,46644.51840338111
Juwan Howard,11250000.0,18092428.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,18139052.189469207,46624.18946920708
Hakeem Olajuwon,11156000.0,17941255.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,17987490.331174977,46235.331174977124
Gary Payton,10514688.0,16909887.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,16953464.390043166,43577.390043165535
Dikembe Mutombo,9615187.0,15463296.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,15503144.782622743,39848.7826227434
Reggie Miller,9031850.0,14525164.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,14562595.423773998,37431.423773998395
Chris Webber,9000000.0,14473942.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,14511241.751575368,37299.751575367525
Shawn Kemp,8600000.0,13830656.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,13866297.673727572,35641.673727571964
Larry Johnson,8460714.0,13606654.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,13641718.471659804,35064.47165980376
Derrick Coleman,8002800.0,12870229.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,12903396.165500816,33167.16550081596
Kevin Johnson,8000000.0,12865726.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,12898881.556955881,33155.55695588142
Latrell Sprewell,7770000.0,12495837.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,12528038.7121934,32201.712193399668
Anfernee Hardaway,7580000.0,12190276.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,12221690.275215698,31414.275215698406
Elden Campbell,7000000.0,11257510.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,11286521.362336397,29011.36233639717
Danny Manning,6833333.0,10989474.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,11017794.12577975,28320.125779749826
Robert Horry,6000000.0,9649295.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,9674161.167716911,24866.167716911063
Allan Houston,6000000.0,9649295.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,9674161.167716911,24866.167716911063
Shawn Bradley,5940000.0,9552802.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,9577419.556039741,24617.556039741263
Grant Hill,5850000.0,9408062.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,9432307.138523988,24245.138523988426
Otis Thorpe,5700000.0,9166830.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,9190453.109331066,23623.10933106579
Glenn Robinson,5510000.0,8861269.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,8884104.672353363,22835.672353362665
Clyde Drexler,5500000.0,8845187.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,8867981.070407169,22794.07040716894
Tom Gugliotta,5500000.0,8845187.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,8867981.070407169,22794.07040716894
Steve Smith,5400000.0,8684365.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,8706745.05094522,22380.050945220515
Sean Elliott,5333333.0,8577150.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,8599253.833850523,22103.833850523457
Dale Davis,5273333.0,8480657.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,8502512.222173354,21855.222173353657
Jason Kidd,5223333.0,8400246.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,8421894.21244238,21648.212442379445
Karl Malone,5118578.0,8231778.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,8252991.420255016,21213.420255015604
John Starks,5112500.0,8222003.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,8243191.494992118,21188.49499211833
A.C. Green,5095088.0,8194001.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,8215117.079283403,21116.079283403233
Christian Laettner,5050000.0,8121490.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,8142418.9828284,20928.982828400098
Kenny Anderson,5010000.0,8057161.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,8077924.575043621,20763.57504362054
Brian Grant,5000000.0,8041079.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,8061800.973097426,20721.973097425885
John Stockton,5000000.0,8041079.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,8061800.973097426,20721.973097425885
Vlade Divac,4833333.0,7773042.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,7793073.73654078,20031.736540780403
Tim Hardaway,4800000.0,7719436.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,7739328.934173529,19892.934173529036
Glen Rice,4702000.0,7561830.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,7581317.635100819,19487.63510081917
Harvey Grant,4671875.0,7513383.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,7532745.284237907,19362.284237907268
Jim Jackson,4600000.0,7397792.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,7416856.895249632,19064.895249632187
Charles Smith,4576343.0,7359747.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,7378713.290125519,18966.290125519037
Ron Harper,4560000.0,7333464.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,7352362.487464853,18898.48746485263
Toni Kukoc,4560000.0,7333464.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,7352362.487464853,18898.48746485263
John Williams,4550000.0,7317382.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,7336238.885518658,18856.885518657975
Dennis Rodman,4500000.0,7236971.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,7255620.875787684,18649.875787683763
Antonio Davis,4500000.0,7236971.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,7255620.875787684,18649.875787683763
Jamal Mashburn,4433334.0,7129757.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,7148131.271053181,18374.27105318103
Kendall Gill,4400000.0,7076149.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,7094384.856325735,18235.856325735338
Sherman Douglas,4297250.0,6910904.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6928714.846328583,17810.846328582615
Billy Owens,4225200.0,6795033.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6812544.294306249,17511.294306249358
Isaiah Rider,4210000.0,6770588.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6788036.419348033,17448.419348033145
Jeff Hornacek,4195000.0,6746465.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6763851.016428741,17386.016428740695
Tyrone Hill,4110000.0,6609767.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6626800.399886084,17033.39988608379
Mark Price,4090920.0,6579082.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6596036.567372744,16954.56737274397
Vin Baker,4064373.0,6536389.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6553233.241286181,16844.241286180913
Bison Dele,4050000.0,6513274.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6530058.788208915,16784.78820891492
Bryant Stith,4030000.0,6481109.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6497811.584316526,16702.58431652561
Rony Seikaly,4002000.0,6436079.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6452665.49886718,16586.4988671802
Danny Ferry,4000000.0,6432863.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6449440.778477941,16577.77847794071
Rik Smits,4000000.0,6432863.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6449440.778477941,16577.77847794071
Nick Anderson,4000000.0,6432863.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6449440.778477941,16577.77847794071
Donyell Marshall,3990000.0,6416781.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6433317.176531746,16536.176531746052
PJ Brown,3844800.0,6183268.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6199202.4762729965,15934.476272996515
Brian Shaw,3750000.0,6030809.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6046350.72982307,15541.729823069647
Stanley Roberts,3750000.0,6030809.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6046350.72982307,15541.729823069647
Walt Williams,3750000.0,6030809.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,6046350.72982307,15541.729823069647
Lionel Simmons,3716500.0,5976934.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5992336.663303317,15402.66330331657
Dell Curry,3660000.0,5886069.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5901238.312307316,15169.312307315879
Chris Gatling,3656400.0,5880280.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5895433.815606685,15153.815606685355
LaPhonso Ellis,3650000.0,5869987.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5885114.710361121,15127.710361121222
Olden Polynice,3610000.0,5805659.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5820620.302576342,14961.302576341666
Derrick McKey,3600000.0,5789577.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5804496.700630147,14919.70063014701
Jim McIlvaine,3600000.0,5789577.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5804496.700630147,14919.70063014701
Calbert Cheaney,3600000.0,5789577.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5804496.700630147,14919.70063014701
Stojko Vrankovic,3580000.0,5757412.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5772249.496737757,14837.496737756766
Bobby Hurley,3552000.0,5712382.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5727103.411288411,14721.411288411357
Dee Brown,3500000.0,5628755.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5643260.681168199,14505.681168198586
Wesley Person,3500000.0,5628755.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5643260.681168199,14505.681168198586
Nate McMillan,3500000.0,5628755.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5643260.681168199,14505.681168198586
Sharone Wright,3500000.0,5628755.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5643260.681168199,14505.681168198586
Anthony Mason,3471500.0,5582921.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5597308.415621543,14387.415621543303
Rod Strickland,3450000.0,5548344.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5562642.671437224,14298.671437224373
Dana Barros,3400000.0,5467933.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5482024.66170625,14091.661706250161
Sam Perkins,3370000.0,5419687.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5433653.855867665,13966.855867665261
Loy Vaught,3350000.0,5387523.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5401406.651975275,13883.651975275017
Detlef Schrempf,3333333.0,5360718.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5374533.444611552,13815.444611552171
Ken Norman,3332000.0,5358575.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5372384.168472124,13809.168472124264
Mahmoud Abdul-Rauf,3300000.0,5307112.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5320788.642244301,13676.642244300805
Robert Pack,3240000.0,5210619.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5224047.030567132,13428.030567131937
Mark Jackson,3200000.0,5146290.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5159552.622782352,13262.62278235238
Luc Longley,3184900.0,5122006.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5135205.9838435985,13199.983843598515
Joe Smith,3165160.0,5090260.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5103377.99360181,13117.993601810187
Allen Iverson,3128640.0,5031528.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5044494.599294306,12966.599294305779
Hersey Hawkins,3124100.0,5024227.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5037174.484010734,12947.484010733664
Chris Childs,3120000.0,5017633.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,5030563.807212794,12930.8072127942
Arvydas Sabonis,3080000.0,4953304.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4966069.399428015,12765.399428014643
Mookie Blaylock,3000000.0,4824647.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4837080.5838584555,12433.583858455531
Joe Dumars,3000000.0,4824647.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4837080.5838584555,12433.583858455531
Chris Mills,3000000.0,4824647.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4837080.5838584555,12433.583858455531
Mitch Richmond,3000000.0,4824647.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4837080.5838584555,12433.583858455531
Avery Johnson,3000000.0,4824647.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4837080.5838584555,12433.583858455531
Chris Morris,3000000.0,4824647.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4837080.5838584555,12433.583858455531
Tim Duncan,2967840.0,4772927.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4785227.079999493,12300.079999493435
Chris Mullin,2941500.0,4730566.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4742757.512473215,12191.512473215349
Dennis Scott,2920000.0,4695990.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4708091.768288896,12101.76828889642
Bobby Phills,2900000.0,4663825.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4675844.564396507,12019.564396507107
Lamond Murray,2900000.0,4663825.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4675844.564396507,12019.564396507107
Antonio McDyess,2876640.0,4626258.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4638179.830250196,11921.830250196159
Bryon Russell,2857144.0,4594904.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4606745.255895894,11841.25589589402
Charles Oakley,2850000.0,4583415.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4595226.554665533,11811.554665532894
Scott Williams,2850000.0,4583415.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4595226.554665533,11811.554665532894
Pooh Richardson,2820710.0,4536310.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4548000.524565128,11690.524565127678
Dan Majerle,2820000.0,4535168.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4546855.748826948,11687.748826947995
Clarence Weatherspoon,2800000.0,4503004.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4514608.544934559,11604.544934558682
Stacey Augmon,2800000.0,4503004.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4514608.544934559,11604.544934558682
Marcus Camby,2799240.0,4501782.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4513383.151186648,11601.151186647825
Armen Gilliam,2780400.0,4471483.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4483006.285120017,11523.285120016895
Scottie Pippen,2775000.0,4462798.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4474299.540069072,11501.540069071576
Micheal Williams,2775000.0,4462798.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4474299.540069072,11501.540069071576
Andrew Lang,2700000.0,4342182.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4353372.52547261,11190.525472610258
Keith Van Horn,2655360.0,4270392.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4281396.766384796,11004.76638479624
Kevin Edwards,2640000.0,4245689.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4256630.913795441,10941.913795441389
Rodney Rogers,2640000.0,4245689.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4256630.913795441,10941.913795441389
Grant Long,2610335.0,4197982.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4208800.248622054,10818.248622054234
Cedric Ceballos,2605000.0,4189402.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4200198.306983759,10796.306983758695
BJ Armstrong,2600000.0,4181361.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4192136.5060106614,10775.506010661367
Jerry Stackhouse,2583360.0,4154600.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4165306.832372193,10706.832372193225
Doug West,2535000.0,4076827.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4087333.093360395,10506.09336039517
Shareef Abdur-Rahim,2513760.0,4042668.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4053086.562826677,10418.562826677226
Dino Radja,2500000.0,4020539.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4030900.486548713,10361.486548712943
Jayson Williams,2500000.0,4020539.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4030900.486548713,10361.486548712943
Sam Cassell,2500000.0,4020539.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,4030900.486548713,10361.486548712943
Chuck Person,2470000.0,3972293.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3982529.6807101285,10236.680710128509
Mario Elie,2430000.0,3907964.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3918035.272925349,10071.272925348952
Chauncey Billups,2384640.0,3835015.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3844898.614497409,9883.614497409202
Voshon Lenard,2364597.0,3802782.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3812582.079116651,9800.079116650857
Rasheed Wallace,2329080.0,3745663.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3755315.8820843506,9652.882084350567
Blue Edwards,2300000.0,3698896.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3708428.447624816,9532.447624816094
Adam Keefe,2300000.0,3698896.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3708428.447624816,9532.447624816094
Vinny Del Negro,2298777.0,3696929.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3706456.5311067966,9527.531106796581
Ervin Johnson,2281128.0,3668546.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3677999.986031957,9453.98603195697
Stephon Marbury,2266320.0,3644731.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3654124.156270032,9393.156270031817
Charles Barkley,2250000.0,3618485.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3627810.437893842,9325.437893841881
Mark Bryant,2250000.0,3618485.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3627810.437893842,9325.437893841881
Felton Spencer,2178099.0,3502853.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3511880.127540506,9027.127540505957
Greg Minor,2160000.0,3473746.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3482698.020378088,8952.020378088113
Antonio Daniels,2149920.0,3457535.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3466445.4296163237,8910.429616323672
Don MacLean,2120000.0,3409417.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3418203.6125933086,8786.612593308557
George Lynch,2115000.0,3401376.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3410141.811620211,8765.811620211229
Kevin Garnett,2109120.0,3391920.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3400661.1336758486,8741.1336758486
Pervis Ellison,2090000.0,3361171.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3369832.806754724,8661.806754724123
Michael Cage,2055421.0,3305560.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3314079.003584977,8519.003584976774
Ray Allen,2052360.0,3300637.0,1997,1998,1997-12-31,1.023377,1.6123601946194852,3309143.5690292465,8506.569029246457
